battery_power,clock_speed,int_memory,m_dep,mobile_wt,n_cores,ram,talk_time,pixel_area,screen_area,total_camera_mp,blue,dual_sim,touch_screen,wifi,supports_3_4G,price_range
668,0.5,3,0.1,155,5,2746,8,801198,45,13,0,1,1,1,1,2
1309,1.1,33,0.5,100,4,2334,11,780914,10,14,0,1,0,1,1,2
1724,2.0,57,0.5,177,3,2822,16,3088020,57,7,0,1,1,0,1,3
1977,2.0,54,1.0,171,7,1971,14,1522692,126,25,1,1,1,0,1,2
885,2.3,15,0.4,103,7,1410,5,616738,160,0,0,1,1,1,1,0
879,2.5,14,0.7,83,6,349,2,445315,160,26,1,0,0,1,1,0
1322,1.7,7,0.8,140,3,1418,12,352230,323,15,0,1,1,0,0,1
1137,1.0,7,1.0,196,3,3616,12,1110618,65,37,1,0,1,1,1,3
1355,2.3,23,0.2,132,5,880,8,580041,76,26,0,0,1,0,1,0
1665,0.5,60,0.2,194,6,1601,14,2647248,306,21,1,0,0,0,1,2
657,2.5,37,0.7,141,2,1412,18,457436,42,1,0,0,1,0,0,0
593,0.5,31,0.4,156,7,1692,7,1623861,12,13,0,0,0,0,1,1
1883,0.5,10,0.3,146,6,2600,20,1453804,128,16,1,0,0,0,1,3
1732,1.1,12,0.8,119,8,1308,11,725944,112,13,1,0,0,1,1,1
543,0.5,57,0.7,192,5,2413,15,384744,238,4,0,0,0,0,1,1
1939,2.8,55,0.6,199,4,1047,18,166400,140,10,1,1,1,0,1,0
553,2.4,8,0.5,121,7,1204,8,293150,44,4,0,1,1,1,1,0
832,0.7,39,0.7,103,4,1799,11,188000,10,5,0,1,0,1,1,1
1661,1.9,23,1.0,172,5,2676,11,1382364,72,15,0,1,1,1,0,3
1657,2.4,42,0.1,198,5,2597,14,3178920,18,19,1,0,0,0,1,3
1135,2.0,46,0.3,83,1,3029,9,540878,323,4,1,1,1,1,1,3
1775,1.5,41,0.1,163,1,2343,14,3052077,247,10,1,0,1,1,1,3
783,1.8,43,1.0,106,3,2016,18,1762258,64,4,0,1,1,0,1,1
617,2.3,32,0.5,199,7,2213,7,671232,234,20,1,0,0,0,0,1
867,1.4,4,0.7,135,6,790,3,138180,78,1,0,1,1,0,1,0
1310,1.1,7,1.0,194,5,3182,5,60021,32,27,1,1,1,0,1,2
1804,0.5,22,0.6,153,7,3472,20,1440552,9,28,0,0,0,1,1,3
1900,2.3,18,0.2,89,7,2871,13,1752355,12,10,1,0,1,1,1,3
909,1.4,53,0.3,82,8,3187,4,617855,108,0,1,0,0,0,1,2
1084,2.6,40,0.9,107,3,1945,10,248262,60,14,1,0,1,0,1,1
1308,1.3,46,0.9,199,1,488,9,271975,15,20,0,1,1,0,0,0
1778,0.5,15,0.5,102,3,1214,14,2823530,0,0,0,0,0,0,1,1
1701,1.6,10,0.3,194,8,2598,6,735900,108,10,1,1,1,0,0,2
772,2.4,10,0.5,80,4,3242,4,2126304,198,3,1,1,1,0,1,3
825,0.5,52,0.9,130,3,3534,6,515211,40,17,1,1,1,0,0,3
1379,1.1,36,0.8,200,2,3426,17,740288,20,12,0,0,1,1,1,3
1166,2.0,25,0.8,198,5,2488,15,70977,65,7,0,0,0,0,1,2
1659,2.8,16,0.6,89,1,3255,9,738738,266,25,0,0,0,1,0,3
826,2.4,58,0.3,88,4,2863,18,140694,27,1,1,1,0,1,1,2
1564,2.3,25,0.5,189,6,1496,7,2473935,24,21,0,0,1,1,1,1
1957,0.9,31,0.6,181,3,3801,7,685872,0,27,0,1,0,1,1,3
1571,1.4,19,0.1,100,6,666,13,996774,120,1,0,0,1,0,1,0
1414,2.0,54,0.8,99,7,3799,7,217198,119,5,0,1,0,1,1,3
1790,2.5,2,0.1,184,1,1366,20,492624,0,23,0,1,1,1,1,1
645,0.5,41,1.0,197,7,2962,4,189660,108,11,0,0,1,1,1,2
668,2.9,30,0.2,195,8,2399,7,551232,50,19,0,1,1,1,1,1
1652,1.1,36,0.7,89,4,2338,20,395632,96,6,1,1,0,0,0,2
1213,0.5,16,0.5,108,5,2700,9,282048,36,0,1,0,0,1,0,2
1272,2.5,22,0.9,133,6,2235,4,404745,76,8,1,1,0,0,1,1
866,0.5,46,0.5,179,8,3825,2,1166712,132,12,0,1,1,1,1,3
536,2.4,3,0.3,182,7,284,4,2133054,108,26,0,1,1,0,1,0
523,2.6,14,0.1,155,8,1427,9,316768,9,3,0,1,1,0,0,0
1753,0.5,31,0.1,134,1,1324,17,3062340,0,18,0,1,0,1,1,2
1218,1.8,14,0.5,147,3,398,5,141064,0,5,0,1,0,0,1,0
1537,2.5,43,0.3,137,1,3685,17,948909,306,9,1,0,1,1,1,3
786,2.2,33,0.5,141,7,2390,5,860379,132,6,0,1,0,1,1,2
1678,2.1,64,0.9,134,3,278,10,233696,0,14,0,0,1,0,1,0
1814,1.4,9,0.4,141,2,3556,16,594216,216,3,0,1,0,0,1,3
1101,1.8,31,0.2,148,2,2196,19,491103,72,7,0,0,1,1,0,1
1461,2.4,40,0.5,141,7,3799,4,1641970,16,7,0,1,0,0,1,3
1216,3.0,47,0.4,199,3,2268,4,3642884,65,11,0,0,1,1,0,2
506,1.6,41,0.8,159,1,2965,15,896875,130,13,0,0,0,0,1,2
843,0.5,56,0.1,147,5,2341,20,112000,10,18,1,0,1,1,1,1
742,2.2,56,0.2,190,7,3557,12,784143,176,18,0,1,1,1,0,3
1692,2.1,61,0.9,176,6,1354,19,1946100,112,15,1,0,0,0,1,1
1485,1.0,32,0.7,84,2,2147,11,516630,19,11,0,0,1,0,1,2
1547,2.9,45,0.7,166,2,505,3,343970,24,14,0,1,1,1,0,0
1692,2.3,46,0.9,139,1,1394,6,1297450,160,10,0,1,1,0,1,1
637,2.3,60,0.8,97,4,374,8,2237625,72,7,0,0,0,1,1,0
1224,0.5,6,0.4,109,6,506,11,617022,0,34,0,0,1,1,1,0
1356,2.8,29,0.5,198,6,3702,19,3196596,0,0,0,0,0,0,0,3
1840,0.5,34,0.7,142,1,1078,10,480495,0,28,0,1,0,0,0,1
1481,0.7,37,0.6,96,5,2945,16,177828,50,17,1,1,1,1,1,2
961,1.5,51,0.3,152,6,2981,7,344034,90,26,1,1,1,1,1,2
1296,0.9,14,0.5,124,5,490,4,1031592,7,3,0,1,1,1,1,0
1193,0.9,26,0.5,166,1,536,4,1262170,238,31,0,0,0,1,1,0
1441,2.1,3,0.1,118,8,2317,7,617967,64,28,0,1,0,1,1,2
517,1.4,33,0.8,183,4,3704,11,642840,272,11,0,1,0,1,1,3
748,1.7,27,0.9,150,8,2126,7,699300,162,4,1,0,0,0,1,1
1126,2.4,10,0.4,160,6,2050,12,1970253,42,5,1,0,1,1,1,2
1572,0.6,58,0.2,157,7,2462,10,2148133,96,8,0,0,0,0,1,3
1569,2.8,44,0.3,110,4,1260,17,87390,18,37,0,1,0,0,1,1
1270,0.6,32,0.5,101,7,3770,13,252655,15,8,1,1,1,0,1,3
1854,3.0,8,0.1,101,5,1886,20,317262,68,7,0,0,1,0,1,1
625,1.2,10,0.2,183,4,3323,7,534670,9,13,1,1,1,1,1,2
1577,0.5,42,0.3,197,5,2060,12,1815165,114,4,0,1,0,0,1,2
534,0.5,16,1.0,189,5,3926,20,471207,192,1,0,1,0,0,1,3
946,1.7,25,0.8,143,6,2177,13,1131000,35,23,0,1,1,1,1,2
685,0.5,29,0.8,93,7,728,4,280584,112,12,0,0,0,1,0,0
1949,1.3,23,0.1,101,5,2478,20,953104,112,1,0,1,0,0,1,3
947,0.8,22,0.1,197,2,2842,2,1434720,192,13,0,1,0,0,1,2
801,2.2,63,0.4,165,7,1617,19,571350,68,6,1,1,0,1,0,1
703,2.7,30,0.3,113,1,1472,7,232170,98,32,1,0,0,0,1,0
1165,2.4,41,0.2,178,6,764,15,468684,228,23,1,0,0,0,1,0
1082,0.8,38,0.1,198,8,2337,17,1174326,6,5,0,0,1,1,0,2
959,2.6,20,1.0,84,4,3965,6,914991,16,34,1,1,0,0,1,3
1502,1.2,54,0.2,138,5,3693,16,38220,238,12,1,0,1,0,1,3
1380,2.1,4,0.8,92,3,797,15,210000,26,14,1,1,1,0,1,0
1266,0.5,5,0.1,95,6,1687,18,2317770,0,9,0,0,0,0,1,2
1934,2.6,46,0.1,103,1,2940,2,804081,117,17,1,1,1,1,1,3
1905,0.5,6,0.5,151,1,1545,10,762402,45,8,1,0,1,0,1,1
1831,1.4,43,0.9,150,5,3834,13,843791,119,7,0,1,1,1,1,3
596,1.4,46,0.6,165,1,2505,15,937752,60,26,0,0,1,0,1,1
1562,1.3,7,0.2,190,5,2243,6,984186,120,16,1,1,0,0,1,2
1490,0.5,64,0.3,150,8,3600,7,2074488,153,12,1,1,1,1,1,3
1523,2.4,57,0.2,117,2,3971,10,133133,216,11,1,0,1,1,1,3
640,0.6,20,0.1,163,4,2844,18,837090,35,15,0,0,1,0,1,2
1526,2.1,23,0.2,117,7,2227,3,539218,180,9,0,0,1,0,1,2
1989,2.5,41,0.8,94,3,1665,12,1646700,153,13,0,1,1,1,1,2
1308,1.9,61,0.7,106,3,3355,4,71685,30,7,0,0,0,1,1,3
609,0.5,26,0.3,93,4,1866,14,1827224,110,7,0,0,1,1,1,1
1905,0.6,36,0.4,119,3,1287,16,1272150,52,29,0,1,0,0,1,1
1703,0.5,22,0.6,192,1,1046,13,353210,20,0,1,0,0,1,1,0
1445,2.4,20,0.4,173,7,1441,13,1712185,28,22,1,1,1,1,1,1
1087,1.3,16,0.3,166,3,690,6,173755,84,9,0,0,0,1,1,0
671,0.9,30,0.7,105,7,2504,15,1007064,24,27,0,1,0,0,1,2
1472,2.3,61,0.1,168,6,2677,8,746920,285,25,1,0,0,0,1,2
765,0.5,47,0.3,115,8,2243,4,1824833,77,1,0,1,0,1,1,2
1642,0.5,8,0.3,171,6,2984,17,112617,52,33,0,1,0,1,1,2
1265,1.5,49,0.7,182,5,1362,12,576840,0,23,0,0,0,1,0,1
664,1.1,51,0.1,110,7,3629,6,1036078,285,5,1,1,1,1,1,3
1277,0.5,35,0.4,142,6,3559,6,451140,306,6,1,1,1,0,1,3
1395,1.8,23,0.1,111,3,2571,13,150165,0,1,0,1,0,1,1,2
1539,2.6,41,0.1,159,8,2107,10,1852592,135,0,1,0,0,1,1,2
1049,2.2,63,0.5,135,5,1022,13,214323,33,26,1,0,0,0,0,0
1827,1.7,39,0.5,128,5,2844,10,56100,126,20,0,0,1,0,1,2
903,1.0,50,0.4,91,1,711,10,1519050,45,0,0,1,1,0,1,0
1987,0.5,53,1.0,181,3,3117,8,1594832,90,10,1,0,1,1,1,3
1154,1.2,49,0.2,181,8,978,7,810959,15,2,0,1,0,1,1,0
1336,0.9,17,0.2,194,5,1869,16,32065,13,14,0,0,1,1,1,1
1886,0.5,24,0.4,112,3,1179,20,1584022,112,1,0,0,0,1,1,1
1551,1.1,51,0.1,88,5,3844,4,3467310,88,10,0,0,1,0,0,3
850,1.6,29,0.5,133,5,593,10,259368,323,25,1,1,0,1,1,0
660,0.5,40,0.5,111,2,588,18,308636,30,15,0,0,1,1,1,0
1225,2.1,13,0.5,116,4,3836,11,1065636,132,20,1,1,0,0,0,3
1452,0.5,25,0.9,123,6,2669,13,43680,120,12,1,1,0,0,1,2
1686,2.8,38,0.1,166,4,2958,2,576841,154,7,1,1,0,0,0,3
1634,1.4,17,0.2,200,2,3031,6,1616628,66,6,1,0,1,1,1,3
1708,2.4,49,0.1,109,1,3388,16,120461,24,37,1,1,1,1,1,3
1151,2.9,31,0.6,128,8,2377,13,1594320,144,1,1,1,1,0,0,2
1578,1.9,37,0.1,138,4,2458,3,503886,304,21,0,1,0,1,1,2
1689,1.8,24,0.3,127,3,2766,7,1144800,14,35,0,0,1,1,0,3
1488,0.5,39,0.8,112,5,3054,19,2516616,140,7,0,0,0,0,0,3
1313,1.8,9,0.4,105,1,3791,6,544128,110,10,1,1,1,1,0,3
1715,1.0,31,0.5,83,8,625,13,1030370,102,21,0,1,0,0,1,0
1442,1.0,27,0.1,192,3,2227,20,158697,30,19,0,1,1,0,1,1
528,1.7,6,0.8,142,2,3256,6,365638,72,27,0,0,1,0,1,2
1523,1.8,11,0.1,129,1,707,19,237688,152,14,1,0,1,0,1,0
1133,1.4,42,0.1,199,5,1457,20,1126390,216,15,0,0,0,1,1,1
1718,2.5,6,0.1,183,5,3755,8,552720,7,30,1,1,1,1,1,3
1330,0.5,38,1.0,183,7,1733,11,1858890,0,1,0,0,0,1,1,1
1799,0.5,49,0.4,107,4,720,11,874056,24,2,1,0,1,1,1,0
633,2.2,49,0.1,139,8,3560,16,533761,11,1,1,0,1,1,1,2
724,2.7,44,0.5,187,7,2311,7,2232842,42,0,0,1,0,0,1,2
822,0.5,51,0.3,157,6,3846,3,573620,10,20,1,0,0,0,1,3
1918,1.9,10,0.6,110,5,1717,16,1805310,7,12,0,0,1,1,1,2
1891,2.8,37,0.4,129,7,3704,11,187252,48,21,0,0,0,0,1,3
1373,1.0,50,0.2,127,7,3800,14,70665,24,14,1,1,0,0,1,3
862,0.8,23,0.4,165,2,278,11,1394094,48,18,1,1,0,1,0,0
1273,1.0,48,0.4,99,4,1767,11,434140,270,18,0,0,1,0,1,1
957,2.5,7,0.8,107,5,1846,7,1783485,60,14,1,0,0,1,1,1
1617,1.3,30,0.7,105,2,829,10,255348,0,7,1,1,0,0,1,0
893,2.5,55,0.6,183,2,2986,6,394482,7,1,0,1,1,1,0,2
1210,0.5,63,0.1,93,5,2394,7,1720774,153,0,0,0,0,0,0,2
708,2.7,63,1.0,195,8,2169,7,51012,30,7,1,1,1,1,1,1
835,1.1,7,0.2,101,4,1181,15,518092,65,9,0,1,1,1,1,0
1450,2.7,19,0.6,131,1,575,12,1330574,135,26,1,1,0,0,0,0
973,1.5,57,0.2,190,7,2977,2,829912,24,21,1,0,0,0,1,2
601,1.4,4,0.1,154,4,532,10,272340,96,17,1,0,1,1,1,0
507,0.5,32,0.5,141,7,1702,5,1308528,0,12,1,1,1,1,1,1
564,1.8,51,0.5,168,3,1074,15,1805760,112,1,0,1,1,0,1,0
1559,1.6,6,0.5,162,6,3352,3,279061,9,23,1,1,1,1,1,3
754,0.5,59,0.7,178,7,1027,5,3690192,18,17,0,1,0,0,1,1
728,2.7,25,0.2,88,4,2039,12,804254,5,1,0,1,1,1,1,1
1431,0.5,56,0.6,191,1,461,8,148512,21,1,1,0,0,0,1,0
767,1.5,28,0.7,175,4,527,15,521848,0,14,0,0,1,0,0,0
1722,2.6,18,0.8,177,2,3271,15,1505965,0,24,0,0,0,1,1,3
1992,1.6,57,1.0,100,2,606,4,2476992,27,20,1,0,1,1,1,1
1876,0.5,40,0.3,86,6,2513,16,853944,80,24,0,0,1,0,1,3
1054,1.1,38,0.4,136,6,1675,14,1340534,72,22,0,1,1,1,1,1
1283,1.6,47,0.9,93,5,2698,17,257424,54,9,1,1,1,0,1,2
1281,2.3,28,0.3,148,1,1129,6,2077845,12,6,1,1,1,0,0,1
1066,0.6,7,0.9,114,7,468,6,1951182,247,20,0,0,1,0,1,0
730,2.1,4,0.1,89,8,1210,4,376594,285,2,0,1,1,1,1,0
1053,0.8,45,0.3,103,1,3086,5,1049598,102,19,1,1,1,1,1,3
1611,0.5,3,0.6,98,3,1595,9,216342,32,25,1,1,0,1,1,1
793,1.0,30,0.9,133,2,2332,14,3595230,221,20,0,1,1,1,1,2
1220,2.9,62,0.5,125,4,2589,15,778999,209,11,0,0,1,1,1,2
1662,0.5,61,0.8,126,4,3760,13,48288,45,13,0,0,1,1,1,3
1281,2.8,8,0.3,144,4,1851,9,562860,16,22,1,1,1,0,1,1
538,0.8,2,0.8,177,7,417,9,155570,32,25,0,0,0,1,1,0
823,0.5,39,0.4,187,8,294,11,559440,117,4,1,0,0,1,0,0
1733,2.8,36,1.0,119,6,3576,9,188139,272,23,1,0,0,0,1,3
1429,1.5,40,0.9,100,3,3945,18,201720,77,14,0,1,0,1,1,3
1839,1.2,54,0.5,200,7,927,18,709175,190,20,1,0,0,1,1,1
659,2.7,6,0.5,110,3,2044,2,2033166,75,13,0,0,0,1,1,1
1953,2.1,56,0.1,158,8,2334,4,424020,55,16,1,1,0,0,1,2
1172,1.9,27,0.7,164,1,1477,6,662844,0,3,0,0,0,0,1,1
612,1.9,16,0.3,102,7,3161,3,2571760,32,13,1,1,0,0,0,3
1563,2.4,24,0.2,170,8,3660,5,241258,35,0,0,0,1,0,1,3
1191,1.3,26,0.8,84,1,1604,9,465123,42,36,0,1,0,1,1,1
615,0.5,42,0.6,163,6,2211,18,173056,28,4,1,1,0,1,0,1
1893,2.1,63,0.2,134,2,3822,18,486031,42,19,1,1,1,1,0,3
1563,1.7,16,0.1,151,7,3922,8,234520,11,23,0,1,0,1,0,3
1995,1.9,9,0.8,139,6,1203,18,3592290,168,24,1,0,1,1,1,2
1517,0.5,48,0.6,143,5,2822,11,1194178,75,20,0,0,1,1,1,3
832,1.6,34,0.3,108,5,447,12,402434,195,6,0,1,1,0,1,0
1162,2.0,56,0.7,114,7,1652,20,55832,0,1,0,0,0,0,1,1
1595,2.6,12,0.3,121,8,3608,16,225320,15,26,1,0,1,0,0,3
1329,1.0,52,0.9,181,6,1228,6,1535274,48,3,1,0,0,1,1,1
928,0.5,56,0.7,80,8,666,5,274703,190,24,1,1,1,0,0,0
1656,0.5,38,0.1,105,7,1499,19,262614,96,25,1,1,0,1,1,1
1937,1.7,58,0.6,189,1,3321,14,3053376,20,36,1,0,1,0,1,3
977,1.1,57,0.6,181,6,1206,8,35658,7,9,1,1,1,1,0,0
768,0.9,56,0.1,113,1,952,16,215270,57,36,1,0,0,1,1,0
1464,0.5,12,0.9,117,2,3927,15,997472,15,25,1,1,1,1,0,3
1177,0.9,29,0.4,191,2,311,19,156996,90,9,0,0,0,0,1,0
1348,2.0,52,0.3,98,3,955,7,3629598,198,38,0,0,1,1,1,1
1956,2.2,37,0.5,87,3,1109,19,143560,13,2,0,0,1,0,1,1
1751,0.5,8,0.6,178,6,2969,17,95880,48,26,0,1,0,1,0,2
1530,2.0,42,0.8,177,6,725,19,896650,110,24,0,0,0,1,0,0
1997,1.8,40,0.5,185,4,1655,15,1049592,42,9,1,1,0,0,1,2
1414,1.5,44,0.5,180,2,3490,13,49192,192,11,1,1,1,0,0,3
1707,1.4,41,0.8,80,7,1774,10,1847428,0,2,0,0,0,0,0,2
894,0.5,50,0.5,199,3,3615,6,1878670,0,15,0,1,0,1,1,3
645,1.2,41,0.7,184,8,714,13,837330,36,23,0,0,1,0,1,0
1163,2.8,49,0.6,155,2,2768,12,392080,38,0,0,1,0,1,0,2
1126,0.7,49,0.9,165,8,3739,13,196764,14,20,0,0,0,0,1,3
1648,0.7,64,0.8,170,4,610,6,2163028,8,15,0,0,1,0,1,1
1170,0.9,14,0.4,199,2,715,20,336066,90,19,1,0,0,1,1,0
508,0.8,42,0.3,94,1,663,7,21723,156,15,0,0,0,0,1,0
1097,2.1,64,0.2,161,3,1725,9,801966,70,14,0,1,0,1,1,1
728,1.7,5,0.6,101,2,834,5,452600,0,20,0,1,1,0,1,0
1980,0.5,29,0.8,177,1,3865,18,595920,120,15,0,1,0,0,1,3
1504,2.3,64,0.9,182,1,3059,10,36537,30,3,0,1,1,0,0,3
1379,2.1,63,1.0,83,1,651,7,283590,54,31,1,1,1,0,1,0
1698,2.1,18,0.9,160,6,796,14,360822,39,25,0,0,0,1,1,0
920,2.1,25,0.4,115,7,785,5,225302,70,19,0,1,1,1,0,0
1144,1.5,21,0.4,189,1,3252,8,115116,0,11,1,1,0,0,0,2
1995,0.5,26,0.2,129,1,1322,7,716496,165,21,1,0,1,1,0,1
1430,0.5,27,0.5,183,1,2832,15,1338024,7,17,0,1,1,1,0,2
972,0.5,13,0.4,193,5,1615,13,2498640,66,13,1,1,1,0,0,1
662,0.5,20,0.8,138,1,2125,15,1225224,255,15,0,0,1,1,0,1
1867,2.3,9,0.1,191,6,990,2,1026704,6,3,0,0,0,1,1,1
1730,2.0,20,0.1,143,4,1595,12,427614,0,10,0,1,1,0,1,1
1723,1.0,7,0.6,126,3,1213,16,522624,0,18,1,0,1,1,1,1
1882,1.3,47,0.2,140,2,2500,11,77588,17,21,1,1,0,1,0,2
803,0.8,18,0.3,106,4,2801,12,586245,270,1,0,1,1,0,0,2
580,1.2,47,0.9,91,3,3451,11,1460670,15,1,1,1,1,0,1,3
668,2.3,48,0.3,114,1,1201,4,251940,168,21,0,0,1,0,1,0
